氣象局測站名稱,對應最近環保署測站名稱,距離(km)
五分山雷達站,基隆,6.77
板橋,土城,1.95
淡水,淡水,0.05
鞍部,陽明,0.02
臺北,萬華,1.2
竹子湖,陽明,2.74
基隆,基隆,2.03
彭佳嶼,萬里,63.29
花蓮,花蓮,1.44
新屋,觀音,4.78
蘇澳,冬山,7.62
宜蘭,宜蘭,2.05
金門,金門,3.61
田中,南投,11.45
東吉島,馬公,36.09
澎湖,馬公,0.5
臺南,臺南,0.98
永康,安南,2.25
高雄,楠梓,1.67
嘉義,嘉義,3.76
臺中,忠明,4.42
阿里山,竹山,30.79
大武,潮州,39.84
玉山,竹山,41.41
新竹,新竹,4.92
恆春,恆春,6.71
成功,關山,22.43
蘭嶼,恆春,79.92
日月潭,埔里,11.45
臺東,臺東,0.55
墾丁雷達站,恆春,2.25
馬祖,馬祖,2.82
山佳,土城,5.1
坪林,汐止,15.82
四堵,宜蘭,16.03
泰平,基隆,18.64
福山,新店,22.54
桶後,新店,15.53
石碇,汐止,8.37
火燒寮,汐止,12.41
瑞芳,基隆,4.51
科教館,士林,1.01
大坪,萬里,5.94
五指山,汐止,7.96
福隆,基隆,22.12
雙溪,基隆,14.73
富貴角,富貴角,4.27
三和,陽明,8.66
金山,萬里,6.72
鼻頭角,基隆,16.47
三貂角,基隆,27.88
社子,士林,4.63
天母,士林,2.57
內湖,松山,3.27
大屯山,陽明,1.06
三峽,桃園,7.96
信義,松山,1.95
文山,新店,4.74
新莊,新莊,2.08
三芝,富貴角,5.47
八里,淡水,4.83
蘆洲,菜寮,2.14
土城,土城,1.23
鶯歌,桃園,5.48
中和,永和,3.74
汐止,汐止,1.66
永和,永和,1.04
五分山,基隆,6.75
平等,士林,6.75
林口,林口,0.68
松山,中山,2.85
深坑,松山,7.25
福山植物園,宜蘭,16.75
五股,新莊,4.07
屈尺,新店,6.17
白沙灣,富貴角,2.36
三重,萬華,1.41
石牌,士林,1.15
澳底,基隆,18.66
野柳,萬里,3.03
淡水觀海,淡水,4.66
石門,富貴角,6.65
水湳洞,基隆,10.32
七堵,基隆,5.76
基隆嶼,基隆,7.3
大武崙,萬里,2.25
八斗子,基隆,3.63
復興,龍潭,14.56
桃園,桃園,0.42
八德,中壢,6.79
觀音,大園,6.13
蘆竹,大園,6.98
大溪,龍潭,5.4
平鎮,龍潭,3.73
楊梅,平鎮,7.61
龍潭,龍潭,0.85
龜山,新莊,4.75
中壢,中壢,4.42
大溪永福,桃園,11.29
竹圍,大園,6.95
中大臨海站,湖口,7.91
觀音工業區,觀音,4.58
梅花,竹東,13.93
關西,龍潭,8.44
峨眉,竹東,9.14
打鐵坑,龍潭,6.81
橫山,竹東,4.32
雪霸,竹東,23.82
竹東,竹東,4.3
寶山,竹東,6.47
新豐,湖口,7.01
湖口,湖口,0.72
新竹市東區,新竹,1.69
海天一線,新竹,6.52
香山濕地,新竹,6.27
外湖,湖口,7.33
竹南,頭份,1.65
南庄,頭份,14.73
大湖,三義,11.9
後龍,苗栗,5.86
明德,苗栗,6.91
通霄,三義,11.28
馬都安,苗栗,16.84
頭份,頭份,1.68
造橋,頭份,7.47
苗栗,苗栗,0.45
銅鑼,苗栗,8.88
卓蘭,三義,10.25
西湖,苗栗,7.27
獅潭,苗栗,10.52
苑裡,三義,12.43
大河,頭份,10.1
高鐵苗栗,苗栗,4.69
三義,三義,2.66
海埔,苗栗,10.44
通霄漁港,三義,15.44
龍鳳,頭份,4.01
大肚,西屯,4.67
雪山圈谷,竹東,41.75
石岡,豐原,4.24
中坑,豐原,16.43
審馬陣,冬山,46.86
南湖圈谷,冬山,46.15
東勢,豐原,9.34
梨山,埔里,41.69
大甲,三義,12.63
大坑,忠明,8.58
中竹林,大里,7.47
神岡,豐原,8.65
大安,沙鹿,13.37
后里,豐原,6.09
豐原,豐原,2.15
大里,大里,2.54
潭子,豐原,6.16
清水,沙鹿,9.62
外埔,三義,6.65
龍井,沙鹿,6.09
烏日,忠明,5.26
西屯,忠明,3.05
南屯,忠明,1.69
新社,豐原,9.78
大雅(中科園區),沙鹿,5.77
桃山,竹東,40.46
雪山東峰,竹東,43.01
烏石坑,豐原,20.99
松柏,三義,15.22
溫寮,沙鹿,16.3
梧棲,沙鹿,5.71
芬園,彰化,9.84
鹿港,線西,7.37
員林,南投,10.81
溪湖,二林,7.52
溪州,二林,12.22
二林,二林,4.19
大城,崙背,10.89
福興,線西,10.51
秀水,彰化,5.21
埔鹽,二林,8.63
埔心,二林,12.05
田尾,二林,10.48
埤頭,二林,7.89
北斗,二林,11.88
社頭,南投,10.23
芳苑,二林,9.13
二水,竹山,8.58
伸港,線西,2.47
線西,線西,2.9
花壇,彰化,3.84
永靖,二林,14.04
竹塘,二林,8.83
埔里,埔里,1.62
中寮,南投,8.84
草屯,南投,6.73
昆陽,埔里,35.39
神木村,竹山,30.02
合歡山,埔里,36.52
廬山,埔里,22.9
信義,竹山,19.19
鳳凰,竹山,11.65
竹山,竹山,1.23
水里,竹山,18.65
魚池,埔里,8.54
集集,竹山,14.94
仁愛,埔里,17.73
名間,南投,8.57
國姓,埔里,13.79
南投,南投,0.27
梅峰,埔里,24.58
萬大林道,埔里,13.35
玉山風口,竹山,42.56
小奇萊,花蓮,35.67
奇萊稜線,花蓮,31.72
草嶺,竹山,17.89
崙背,崙背,3.05
四湖,臺西,9.96
宜梧,朴子,11.19
虎尾,崙背,10.42
土庫,崙背,9.92
斗六,斗六,1.04
北港,新港,5.78
西螺,斗六,12.6
褒忠,崙背,8.69
二崙,崙背,6.36
大埤,新港,13.38
斗南,斗六,7.72
林內,竹山,6.95
莿桐,斗六,6.98
元長,新港,10.97
水林,新港,10.36
臺西,臺西,1.85
蔦松,朴子,5.72
棋山,斗六,6.59
高鐵雲林,崙背,7.4
雲林東勢,臺西,7.22
馬頭山,嘉義,21.05
東後寮,新營,10.04
奮起湖,嘉義,26.62
中埔,嘉義,9.35
朴子,朴子,3.5
溪口,新港,8.06
大林,新港,12.59
太保,朴子,8.67
水上,嘉義,7.13
竹崎,嘉義,13.66
東石,朴子,9.58
番路,嘉義,11.58
嘉義市東區,嘉義,2.09
六腳,朴子,5.37
布袋,朴子,12.39
民雄,新港,8.47
嘉義梅山,斗六,14.05
鹿草,朴子,8.64
新港,新港,0.18
茶山,嘉義,29.2
里佳,嘉義,29.34
達邦,嘉義,31.55
表湖,嘉義,31.94
新美,嘉義,28.36
