站號,站名,海拔高度(m),經度,緯度,城市,類型
466850,五分山雷達站,756,121.781205,25.071182,新北市,雷達站
466880,板橋,9.7,121.442017,24.997647,新北市,局屬站
466900,淡水,19,121.448906,25.164889,新北市,局屬站
466910,鞍部,837.6,121.529731,25.182586,臺北市,局屬站
466920,臺北,5.3,121.514853,25.037658,臺北市,局屬站
466930,竹子湖,607.1,121.544547,25.162078,臺北市,局屬站
466940,基隆,26.7,121.740475,25.133314,基隆市,局屬站
466950,彭佳嶼,101.7,122.079744,25.627975,基隆市,局屬站
466990,花蓮,16.1,121.613275,23.975128,花蓮縣,局屬站
467050,新屋,20.6,121.047486,25.006744,桃園市,局屬站
467060,蘇澳,24.9,121.857372,24.596736,宜蘭縣,局屬站
467080,宜蘭,7.2,121.756528,24.763975,宜蘭縣,局屬站
467110,金門,47.9,118.289281,24.407306,金門縣,局屬站
467270,田中,48.6,120.581286,23.873803,彰化縣,局屬站
467300,東吉島,43,119.667467,23.25695,澎湖縣,局屬站
467350,澎湖,10.7,119.563094,23.565503,澎湖縣,局屬站
467410,臺南,40.8,120.204772,22.993239,臺南市,局屬站
467420,永康,8.1,120.2367,23.038386,臺南市,局屬站
467441,高雄,15,120.312389,22.7305,高雄市,局屬站
467480,嘉義,26.9,120.432906,23.495925,嘉義市,局屬站
467490,臺中,84,120.684075,24.145736,臺中市,局屬站
467530,阿里山,2413.4,120.813242,23.508208,嘉義縣,局屬站
467540,大武,8.1,120.903789,22.355675,臺東縣,局屬站
467550,玉山,3844.8,120.959522,23.487614,南投縣,局屬站
467571,新竹,26.9,121.014219,24.827853,新竹縣,局屬站
467590,恆春,22.3,120.746339,22.003897,屏東縣,局屬站
467610,成功,33.5,121.373428,23.097486,臺東縣,局屬站
467620,蘭嶼,324,121.558339,22.036969,臺東縣,局屬站
467650,日月潭,1017.5,120.90805,23.881325,南投縣,局屬站
467660,臺東,9,121.154586,22.752211,臺東縣,局屬站
467790,墾丁雷達站,42,120.808028,21.948235,屏東縣,雷達站
467990,馬祖,97.8,119.923419,26.169269,連江縣,局屬站
C0A520,山佳,48,121.402008,24.974944,新北市,自動站
C0A530,坪林,300,121.70975,24.938183,新北市,自動站
C0A540,四堵,401,121.745736,24.8926,新北市,自動站
C0A550,泰平,422,121.823711,24.971197,新北市,自動站
C0A560,福山,405,121.502811,24.776203,新北市,自動站
C0A570,桶後,360,121.597992,24.848222,新北市,自動站
C0A640,石碇,241,121.662917,24.993969,新北市,自動站
C0A650,火燒寮,287,121.742892,25.002719,新北市,自動站
C0A660,瑞芳,97,121.801147,25.113169,新北市,自動站
C0A770,科教館,60,121.516507,25.096356,臺北市,自動站
C0A860,大坪,362,121.632969,25.165914,新北市,自動站
C0A870,五指山,685,121.608692,25.132153,新北市,自動站
C0A880,福隆,6,121.942083,25.017842,新北市,自動站
C0A890,雙溪,40,121.864242,25.036003,新北市,自動站
C0A920,富貴角,196,121.565258,25.263783,新北市,自動站
C0A931,三和,216,121.595236,25.233153,新北市,自動站
C0A940,金山,49,121.643967,25.223628,新北市,自動站
C0A950,鼻頭角,60,121.923372,25.129036,新北市,自動站
C0A970,三貂角,96,122.002058,25.007606,新北市,自動站
C0A980,社子,11,121.469681,25.109508,臺北市,自動站
C0A9C0,天母,35,121.537169,25.117494,臺北市,自動站
C0A9F0,內湖,35,121.57545,25.079422,臺北市,自動站
C0AC40,大屯山,1079,121.522408,25.175675,臺北市,自動站
C0AC60,三峽,55,121.369728,24.939025,新北市,自動站
C0AC70,信義,71,121.564597,25.037822,臺北市,自動站
C0AC80,文山,40,121.575728,25.00235,臺北市,自動站
C0ACA0,新莊,25,121.446756,25.051478,新北市,自動站
C0AD00,三芝,86,121.501917,25.258131,新北市,自動站
C0AD10,八里,27,121.403947,25.150211,新北市,自動站
C0AD30,蘆洲,20,121.472331,25.086594,新北市,自動站
C0AD40,土城,32,121.445169,24.973208,新北市,自動站
C0AD50,鶯歌,84,121.346294,24.951533,新北市,自動站
C0AG80,中和,48,121.491792,24.991622,新北市,自動站
C0AH00,汐止,38,121.658778,25.066881,新北市,自動站
C0AH10,永和,30,121.508111,25.01125,新北市,自動站
C0AH30,五分山,755,121.780794,25.07125,新北市,自動站
C0AH40,平等,426,121.577086,25.129142,臺北市,自動站
